"統計名：","住民基本台帳人口移動報告 年報（実数）　2020年～"
"表番号：","10"
"表題：","男女，移動前の住所地（都道府県，21大都市）別転入者数－都道府県，市区町村（移動者）（2020年～）"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査していないため該当数値がないもの"
"-","定義上該当数値がないもの"

"","","","","","","","","","","/性別 コード","0","1","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","27000","大阪府","","34","21","13"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","28000","兵庫県","","8","5","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","29000","奈良県","","4","3","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","30000","和歌山県","","3","2","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","31000","鳥取県","","2","0","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","32000","島根県","","1","0","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","33000","岡山県","","10","7","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","34000","広島県","","8","4","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","35000","山口県","","18","14","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","36000","徳島県","","8","6","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","37000","香川県","","1","0","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","38000","愛媛県","","3","0","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","39000","高知県","","0","0","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","40000","福岡県","","50","34","16"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","41000","佐賀県","","2","2","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","42000","長崎県","","5","2","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","43000","熊本県","","12","5","7"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","44000","大分県","","6","4","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","45000","宮崎県","","9","5","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","46000","鹿児島県","","18","12","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","47000","沖縄県","","1,810","952","858"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","00416","21大都市計","","257","145","112"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","01100","札幌市","","6","2","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","04100","仙台市","","1","0","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","11100","さいたま市","","1","1","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","12100","千葉市","","1","1","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","13100","東京都特別区部","","89","46","43"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","14100","横浜市","","29","17","12"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","14130","川崎市","","18","12","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","14150","相模原市","","7","2","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","15100","新潟市","","0","0","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","22100","静岡市","","5","2","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","22130","浜松市","","4","3","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","23100","名古屋市","","20","13","7"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","26100","京都市","","17","7","10"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","27100","大阪市","","14","8","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","27140","堺市","","9","5","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","28100","神戸市","","1","1","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","33100","岡山市","","3","2","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","34100","広島市","","5","3","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","40100","北九州市","","6","4","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","40130","福岡市","","19","15","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","43100","熊本市","","2","1","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","99300","移動前の住所地不詳","","6","3","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","00999","総数","","3,387","1,758","1,629"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","01000","北海道","","35","18","17"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","02000","青森県","","3","1","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","03000","岩手県","","2","0","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","04000","宮城県","","15","10","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","05000","秋田県","","4","3","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","06000","山形県","","6","4","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","07000","福島県","","7","4","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","08000","茨城県","","31","22","9"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","09000","栃木県","","8","2","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","10000","群馬県","","18","10","8"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","11000","埼玉県","","93","45","48"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","12000","千葉県","","101","55","46"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","13000","東京都","","233","115","118"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","14000","神奈川県","","138","77","61"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","15000","新潟県","","12","6","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","16000","富山県","","1","0","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","17000","石川県","","6","3","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","18000","福井県","","1","0","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","19000","山梨県","","5","2","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","20000","長野県","","12","8","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","21000","岐阜県","","13","6","7"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","22000","静岡県","","30","18","12"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","23000","愛知県","","94","49","45"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","24000","三重県","","21","11","10"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","25000","滋賀県","","13","7","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","26000","京都府","","23","10","13"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","27000","大阪府","","95","47","48"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","28000","兵庫県","","52","28","24"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","29000","奈良県","","14","9","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","30000","和歌山県","","1","0","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","31000","鳥取県","","1","0","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","32000","島根県","","1","1","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","33000","岡山県","","9","4","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","34000","広島県","","14","8","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","35000","山口県","","25","19","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","36000","徳島県","","0","0","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","37000","香川県","","12","5","7"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","38000","愛媛県","","7","2","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","39000","高知県","","1","1","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","40000","福岡県","","71","36","35"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","41000","佐賀県","","2","2","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","42000","長崎県","","10","5","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","43000","熊本県","","19","6","13"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","44000","大分県","","7","7","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","45000","宮崎県","","8","5","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","46000","鹿児島県","","18","8","10"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","47000","沖縄県","","2,095","1,079","1,016"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","00416","21大都市計","","524","263","261"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","01100","札幌市","","17","8","9"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","04100","仙台市","","8","6","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","11100","さいたま市","","10","5","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","12100","千葉市","","14","3","11"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","13100","東京都特別区部","","183","94","89"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","14100","横浜市","","51","29","22"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","14130","川崎市","","37","17","20"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","14150","相模原市","","14","9","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","15100","新潟市","","3","1","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","22100","静岡市","","4","1","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","22130","浜松市","","6","5","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","23100","名古屋市","","26","14","12"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","26100","京都市","","15","7","8"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","27100","大阪市","","42","18","24"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","27140","堺市","","5","2","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","28100","神戸市","","23","10","13"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","33100","岡山市","","4","2","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","34100","広島市","","10","6","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","40100","北九州市","","13","8","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","40130","福岡市","","32","15","17"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","43100","熊本市","","7","3","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2021000000","2021年","99300","移動前の住所地不詳","","4","2","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","00999","総数","","3,386","1,727","1,659"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","01000","北海道","","53","25","28"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","02000","青森県","","6","2","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","03000","岩手県","","1","0","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","04000","宮城県","","13","6","7"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","05000","秋田県","","0","0","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","06000","山形県","","3","2","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","07000","福島県","","9","5","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","08000","茨城県","","24","11","13"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","09000","栃木県","","8","2","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","10000","群馬県","","9","5","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","11000","埼玉県","","74","43","31"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","12000","千葉県","","58","29","29"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","13000","東京都","","283","152","131"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","14000","神奈川県","","119","64","55"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","15000","新潟県","","15","8","7"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","16000","富山県","","6","3","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","17000","石川県","","5","2","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","18000","福井県","","1","1","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","19000","山梨県","","6","3","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","20000","長野県","","6","2","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","21000","岐阜県","","9","5","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","22000","静岡県","","39","21","18"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","23000","愛知県","","76","41","35"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","24000","三重県","","15","8","7"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","25000","滋賀県","","9","5","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","26000","京都府","","27","11","16"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","27000","大阪府","","132","68","64"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","28000","兵庫県","","57","30","27"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","29000","奈良県","","17","7","10"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","30000","和歌山県","","8","3","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","31000","鳥取県","","1","1","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","32000","島根県","","6","3","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","33000","岡山県","","8","3","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","34000","広島県","","16","6","10"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","35000","山口県","","23","14","9"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","36000","徳島県","","5","3","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","37000","香川県","","6","1","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","38000","愛媛県","","10","6","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","39000","高知県","","6","2","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","40000","福岡県","","96","50","46"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","41000","佐賀県","","2","0","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","42000","長崎県","","5","3","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","43000","熊本県","","10","8","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","44000","大分県","","8","5","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","45000","宮崎県","","8","4","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","46000","鹿児島県","","32","17","15"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","47000","沖縄県","","2,056","1,037","1,019"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","00416","21大都市計","","578","315","263"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","01100","札幌市","","19","7","12"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","04100","仙台市","","8","4","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","11100","さいたま市","","10","7","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","12100","千葉市","","13","7","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","13100","東京都特別区部","","207","111","96"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","14100","横浜市","","41","25","16"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","14130","川崎市","","45","24","21"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","14150","相模原市","","5","5","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","15100","新潟市","","11","4","7"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","22100","静岡市","","6","4","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","22130","浜松市","","5","4","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","23100","名古屋市","","32","17","15"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","26100","京都市","","22","10","12"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","27100","大阪市","","55","28","27"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","27140","堺市","","7","4","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","28100","神戸市","","23","12","11"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","33100","岡山市","","2","1","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","34100","広島市","","5","3","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","40100","北九州市","","8","5","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","40130","福岡市","","47","27","20"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","43100","熊本市","","7","6","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47300","国頭郡","2020000000","2020年","99300","移動前の住所地不詳","","11","6","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47301","国頭村","2021000000","2021年","00999","総数","","197","102","95"
